Seed,Time,Episode,Reward
0,4090.520364046097,16000,-23.540277410238936
6,4104.49570775032,16000,-33.162303100336615
9,4116.318330287933,16000,-33.72950662203787
8,4121.512251615524,16000,-32.385472444781726
1,4132.850271463394,16000,-32.704394868625656
2,4135.678394079208,16000,-33.1388598117189
3,4139.294899225235,16000,-21.138042139528533
4,4158.437052726746,16000,-21.113313783859795
7,4171.658727884293,16000,-21.126108374035827
5,4175.028868436813,16000,-25.35528798381394
0,4374.985439777374,17000,-22.70412011228138
6,4380.453031778336,17000,-33.125040668213934
9,4388.769269227982,17000,-33.72769949087997
8,4392.937901258469,17000,-32.68901612549984
1,4401.084546327591,17000,-32.71426713526118
2,4415.268375635147,17000,-33.12399998435724
3,4424.331835269928,17000,-21.252593301014503
4,4442.610780000687,17000,-21.100438562205373
5,4446.780678987503,17000,-25.20747542877205
7,4447.191334247589,17000,-21.08219097698277
6,4644.522208690643,18000,-33.153206342888026
0,4648.205677270889,18000,-23.443904982489027
9,4662.197194337845,18000,-33.721743739422365
8,4662.923882007599,18000,-32.616484770487524
1,4672.697557449341,18000,-32.711815277676315
2,4674.693098306656,18000,-33.119963183135866
4,4694.115282535553,18000,-21.24578273372077
3,4698.7131197452545,18000,-21.123577985777573
7,4710.541886091232,18000,-21.12521817969399
5,4720.371473312378,18000,-22.065527474242273
0,4913.224623918533,19000,-22.74811141235965
6,4919.457394599915,19000,-33.0942381201796
9,4928.985672235489,19000,-33.72500932187931
8,4940.621145486832,19000,-32.0670332370231
1,4945.338790655136,19000,-32.680563070235266
2,4948.106517314911,19000,-33.07591666510185
3,4951.6027302742,19000,-21.015866898028797
4,4951.948637485504,19000,-21.14382492717066
5,4978.584604263306,19000,-21.1066622134462
7,4987.856682538986,19000,-21.03921791048028
6,5183.316337823868,20000,-33.148744397402304
0,5191.391638755798,20000,-22.43640973291826
9,5206.422322034836,20000,-33.70030079122314
4,5212.089864730835,20000,-21.222672678045907
8,5212.504770755768,20000,-32.75631225010278
3,5216.040920495987,20000,-21.096787639816963
1,5216.339260816574,20000,-32.70055323813752
2,5226.70677447319,20000,-33.13292156815962
7,5245.927299261093,20000,-21.055938060836915
5,5255.885404825211,20000,-21.16717615707084
0,5462.466331243515,21000,-22.854242428524845
6,5464.571666002274,21000,-33.18741287472722
9,5485.2895176410675,21000,-33.69972741520829
3,5486.906395673752,21000,-21.06438125011907
4,5487.345987558365,21000,-21.269276447888895
8,5494.935359954834,21000,-32.72447613354961
7,5498.0825436115265,21000,-21.130860047038972
2,5507.992003440857,21000,-33.17479690379624
1,5512.33136510849,21000,-32.209539830646875
5,5520.158648967743,21000,-21.18779799015777
6,5746.006463527679,22000,-33.15096541798123
0,5750.259181261063,22000,-22.386753871462833
9,5753.6176590919495,22000,-33.69966041286958
4,5761.890395641327,22000,-22.179494223785937
8,5767.49880027771,22000,-32.95678263955403
3,5767.650829792023,22000,-21.043802862522668
2,5779.065484523773,22000,-33.13389576064845
7,5779.365995168686,22000,-21.11228064128185
1,5780.483969211578,22000,-31.66221371055152
5,5808.646834611893,22000,-21.19528252261677
0,6014.54429268837,23000,-22.0282406544412
6,6031.809480190277,23000,-33.196973232448
3,6032.411225795746,23000,-21.117371111502866
9,6037.015434741974,23000,-33.668088456610825
8,6037.382324695587,23000,-32.372868866933544
4,6048.660281896591,23000,-21.25392149898996
7,6051.067669391632,23000,-21.102276760288017
1,6054.625673294067,23000,-31.625802932075434
2,6059.6501042842865,23000,-33.193487787985894
5,6071.491288661957,23000,-21.27399634713321
0,6292.201642751694,24000,-21.632645337093628
6,6300.083744287491,24000,-33.123670119266734
9,6317.227091550827,24000,-33.68698848506453
4,6321.609698295593,24000,-21.192720394673447
3,6324.271398305893,24000,-21.065081877149495
8,6326.507181406021,24000,-32.82476976827439
7,6330.637573480606,24000,-21.075083022621957
1,6340.757161617279,24000,-31.91062019591051
2,6342.987705945969,24000,-33.075627382021565
5,6364.735594987869,24000,-21.1218520207714
0,6569.332305669785,25000,-21.882802439369694
6,6575.85387802124,25000,-33.16899217445044
9,6595.245892286301,25000,-33.72750424780493
