Seed,Time,Episode,Reward
1,0.38365936279296875,0,-31.70924074855131
8,0.6208956241607666,0,-32.258742715226944
2,1.0190744400024414,0,-32.46236207452049
3,1.0235047340393066,0,-19.85613929510511
9,1.0381038188934326,0,-33.65365703003124
6,1.0674526691436768,0,-27.453490421681547
7,1.1765632629394531,0,-27.349253750550467
5,1.2360761165618896,0,-27.01507145651075
0,1.2739250659942627,0,-28.68971146655421
4,1.5090868473052979,0,-25.764785271971036
2,711.4029543399811,1000,592.660859533276
1,750.8376462459564,1000,499.38407882312737
5,774.1415643692017,1000,490.0210733057862
0,795.4295608997345,1000,457.2842256050572
3,803.7206671237946,1000,427.21849849765493
8,811.7847287654877,1000,422.30893798958436
6,812.1801085472107,1000,422.6707824744693
9,814.8573229312897,1000,407.390575315506
7,818.1074576377869,1000,429.10851087709847
4,897.708503484726,1000,255.2524962978037
2,1309.2361035346985,2000,762.5211184615728
1,1337.1300036907196,2000,745.0807672201664
5,1395.482052564621,2000,731.2195932727285
7,1439.9236571788788,2000,719.9245605214893
9,1459.4955039024353,2000,693.9484369889059
3,1462.6333782672882,2000,651.8820635308565
0,1483.9758350849152,2000,649.388869810547
6,1497.3577735424042,2000,615.99376519602
8,1505.9347298145294,2000,612.6595606819803
4,1515.8222286701202,2000,716.9990772144056
2,1876.6276926994324,3000,804.3372490078563
1,1934.2193269729614,3000,769.5289591025121
5,2002.2035908699036,3000,770.262583930962
3,2025.8780272006989,3000,794.3056514021315
7,2044.475867509842,3000,727.1532021469121
9,2071.673155069351,3000,749.3781039099218
0,2119.48841381073,3000,679.8432646618178
4,2134.7068903446198,3000,759.7070516364681
6,2140.6865770816803,3000,725.0318382169388
8,2177.4468936920166,3000,666.7468597595259
2,2461.134945869446,4000,806.9824056007442
1,2539.67298746109,4000,788.8185180983396
5,2602.2337074279785,4000,767.6652789082408
3,2638.3880727291107,4000,765.2602945470368
9,2643.1436519622803,4000,789.4404647835066
7,2655.154972553253,4000,746.497325662414
4,2727.357631921768,4000,788.2096021176048
0,2731.8912057876587,4000,756.3291465341179
6,2787.7449667453766,4000,696.694072503858
8,2789.3854324817657,4000,731.5132087890208
2,3051.1683897972107,5000,805.2865858070362
1,3136.799380302429,5000,799.3696764756326
5,3207.9947638511658,5000,742.5887514940702
9,3230.852102279663,5000,788.9455460185205
3,3259.1461668014526,5000,730.0487457520826
7,3296.8503184318542,5000,728.7313716764017
4,3308.922414779663,5000,805.2459017632261
0,3355.1402401924133,5000,743.7071878706793
8,3408.206168651581,5000,735.0650166940702
6,3415.5666947364807,5000,756.8212956273957
2,3624.6985297203064,6000,812.6512498662837
1,3698.749536752701,6000,812.6774812530955
9,3802.749942779541,6000,802.4600931256399
3,3835.754988193512,6000,797.5123364647028
5,3839.484935760498,6000,688.2348937024817
4,3852.336284160614,6000,796.8678655320538
7,3892.604652404785,6000,752.8838045945408
0,3955.792789697647,6000,780.8195986893123
6,3990.6438553333282,6000,780.4651709161433
8,3997.928370475769,6000,738.1792008278715
2,4141.968482732773,7000,817.1013698858718
1,4282.230603456497,7000,802.0129378506389
9,4350.445698976517,7000,806.2062695903439
3,4388.465177536011,7000,808.8477633715167
4,4415.7429049015045,7000,808.8474395762729
7,4426.003135919571,7000,792.6802687375088
5,4440.3545780181885,7000,728.6532257126631
0,4552.545302391052,7000,755.4980585921846
8,4557.857038974762,7000,777.8394136430294
6,4575.678245067596,7000,785.4618693930273
2,4703.862292289734,8000,819.3265808197237
1,4859.4013929367065,8000,767.8263748950087
9,4928.693616867065,8000,810.1116381845205
4,4978.522952795029,8000,819.8145167590981
3,4979.0221836566925,8000,805.2336352229871
7,5013.986842870712,8000,791.0201159117928
