Seed,Time,Episode,Reward
1,5.251715183258057,100,-32.406365709634635
6,5.415024280548096,100,-31.573704612950127
4,5.443920850753784,100,-30.6858884984798
2,5.663938283920288,100,-30.76695733563519
3,5.941391229629517,100,-30.91598294125135
7,5.965177536010742,100,-32.34808019564247
5,5.995587110519409,100,-31.475573420474873
9,6.04319429397583,100,-30.599331063480957
8,6.243988513946533,100,-30.425716157922285
0,6.288894414901733,100,-30.30318149412148
1,10.286482810974121,200,-30.436136579244927
4,10.730152606964111,200,-31.559604128139313
3,10.991281509399414,200,-32.81382388300411
6,11.183629274368286,200,-31.22887010312881
2,11.183976888656616,200,-31.494383335693893
9,11.200422048568726,200,-31.946880131662855
7,11.31108045578003,200,-32.556412514661915
8,11.466325283050537,200,-31.82383763530323
5,11.907991886138916,200,-29.788656514838618
0,12.493084907531738,200,-30.6623864321973
3,15.392976999282837,300,-32.94031941957397
4,15.947297811508179,300,-31.780623454176016
1,16.217578649520874,300,-31.61769271663802
0,16.241577625274658,300,-30.61166699484801
7,16.597673177719116,300,-29.83588057824081
6,16.706050634384155,300,-32.70884719275833
9,16.8626492023468,300,-32.099508585134025
2,17.01869010925293,300,-29.64646760491395
8,17.360658407211304,300,-29.757479910313084
5,17.989524841308594,300,-32.28348935841343
9,20.196590662002563,400,-31.940961789673782
2,20.5536208152771,400,-31.90420070572809
3,20.721527338027954,400,-31.95585644901668
4,21.97933530807495,400,-31.026670727423824
1,22.07424783706665,400,-31.77030546894818
7,22.516896963119507,400,-31.74203295959646
6,22.54685091972351,400,-30.740875795330822
0,22.55928921699524,400,-32.202639451610374
8,23.203593730926514,400,-31.52425742546001
5,24.57207155227661,400,-30.8914813282728
1,25.077885389328003,500,-31.70143803425614
9,25.35683274269104,500,-30.821018965451486
2,25.53377413749695,500,-29.864065362816657
3,25.712015390396118,500,-30.650056566285834
0,27.72224521636963,500,-30.5437041181404
4,27.978408813476562,500,-31.506303204039167
6,28.153168439865112,500,-32.27360131863223
7,28.485827684402466,500,-31.208013777860277
8,29.479939937591553,500,-30.274099324031862
5,30.570352792739868,500,-31.66249111748119
3,30.61061978340149,600,-32.24475966109899
1,30.792028188705444,600,-31.715512171276785
9,30.810351133346558,600,-31.187675486449354
0,31.004396200180054,600,-31.06547066566795
2,31.04650616645813,600,-30.217257743458767
4,32.83559560775757,600,-30.318567969121503
2,34.307183504104614,700,-31.200931310335445
